Prinsenlaan;metro;Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.;51,94003178;4,556710488
Rhoon;metro;Metrolijn D Zone 5316 Dit metrostation is toegankelijk met een rolstoel.;51,85916797;4,419186496
Rijnhaven;metro;Metrolijn D, Metrolijn E Zone 5314 Dit metrostation is toegankelijk met een rolstoel.;51,90392689;4,496911794
Rodenrijs;metro;Metrolijn E Zone 5320 Dit metrostation is toegankelijk met een rolstoel.;51,97700216;4,460470943
Rodenrijs;metro;Metrolijn E Zone 5320 Dit metrostation is toegankelijk met een rolstoel.;51,97584395;4,460640419
Romeynshof;metro;Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.;51,96150412;4,542621488
Rotterdam Centraal;metro;Metrolijn D Zone 5300 Dit metrostation is toegankelijk met een rolstoel.;51,92395355;4,46999749
Rotterdam Centraal;metro;Metrolijn E Zone 5300 Dit metrostation is toegankelijk met een rolstoel.;51,92395355;4,46999749
Schenkel;metro;Metrolijn A/B/C Zone 5321 Dit metrostation is toegankelijk met een rolstoel.;51,93260913;4,563376536
Schiedam;metro;Metrolijn A/B/C Zone 5319 Dit metrostation is toegankelijk met een rolstoel.;51,9213096;4,410710129
Slinge;metro;Metrolijn D, Metrolijn E Zone 5314 Dit metrostation is toegankelijk met een rolstoel.;51,87440084;4,477237793
Slotlaan;metro;Metrolijn A/B/C Zone 5322 Dit metrostation is toegankelijk met een rolstoel.;51,92841359;4,577920176
Spijkenisse Centrum;metro;Metrolijn A/B/C, Metrolijn D Zone 5336 Dit metrostation is toegankelijk met een rolstoel.;51,84666369;4,334508813
Stadhuis;metro;Metrolijn D, Metrolijn E Zone 5300 Dit metrostation is toegankelijk met een rolstoel.;51,92347666;4,478032179
Troelstralaan;metro;Metrolijn A/B/C Zone 5319 Dit metrostation is toegankelijk met een rolstoel.;51,91526792;4,383892703
Tussenwater;metro;Metrolijn A/B/C Zone 5326 Dit metrostation is toegankelijk met een rolstoel.;51,86268809;4,376107122
Tussenwater;metro;Metrolijn D Zone 5326 Dit metrostation is toegankelijk met een rolstoel.;51,86268809;4,376107122
Tussenwater Ca;metro;Metrolijn A/B/C Zone 5326 Dit metrostation is toegankelijk met een rolstoel.;51,86268809;4,376107122
Vijfsluizen;metro;Metrolijn A/B/C Zone 5329 Dit metrostation is toegankelijk met een rolstoel.;51,90830639;4,371898321
Voorburg 't Loo;metro;Metrolijn E Zone 5413 Dit metrostation is toegankelijk met een rolstoel.;52,08185407;4,366880901
Voorschoterlaan;metro;Metrolijn A/B/C Zone 5300 Dit metrostation is toegankelijk met een rolstoel.;51,92514133;4,512614569
Wilhelminaplein;metro;Metrolijn D, Metrolijn E Zone 5314 Dit metrostation is toegankelijk met een rolstoel.;51,90800557;4,491889818
Zalmplaat;metro;Metrolijn A/B/C, Metrolijn D Zone 5326 Dit metrostation is toegankelijk met een rolstoel.;51,85552032;4,363247088
Zuidplein;metro;Metrolijn D, Metrolijn E Zone 5314 Dit metrostation is toegankelijk met een rolstoel.;51,88646459;4,487844641
